No.,Gen,Name,Type1,Type2,Ability1,Ability2,Hidden Ability,HP,Att,Def,S.Att,S.Def,Spd,total,moveset
#001,,Bulbasaur,grass,poison,Overgrow,,Chlorophyll,45,49,49,65,65,45,318,"[['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['3', 'Growl', 'NORMAL', 'status', '-', '100'], ['7', 'Vine Whip', 'GRASS', 'physical', '45', '100'], ['9', 'Vine Whip', 'GRASS', 'physical', '45', '100'], ['13', 'Poison Powder', 'POISON', 'status', '-', '75'], ['13', 'Sleep Powder', 'GRASS', 'status', '-', '75'], ['15', 'Take Down', 'NORMAL', 'physical', '90', '85'], ['19', 'Razor Leaf', 'GRASS', 'physical', '55', '95'], ['21', 'Sweet Scent', 'NORMAL', 'status', '-', '100'], ['25', 'Growth', 'NORMAL', 'status', '-', '-'], ['27', 'Double-Edge', 'NORMAL', 'physical', '120', '100'], ['31', 'Worry Seed', 'GRASS', 'status', '-', '100'], ['33', 'Synthesis', 'GRASS', 'status', '-', '-'], ['37', 'Seed Bomb', 'GRASS', 'physical', '80', '100']]"
#002,,Ivysaur,grass,poison,Overgrow,,Chlorophyll,60,62,63,80,80,60,405,"[['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'Leech Seed', 'GRASS', 'status', '-', '90'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['3', 'Growl', 'NORMAL', 'status', '-', '100'], ['7', 'Leech Seed', 'GRASS', 'status', '-', '90'], ['9', 'Vine Whip', 'GRASS', 'physical', '45', '100'], ['13', 'Poison Powder', 'POISON', 'status', '-', '75'], ['13', 'Sleep Powder', 'GRASS', 'status', '-', '75'], ['15', 'Take Down', 'NORMAL', 'physical', '90', '85'], ['20', 'Razor Leaf', 'GRASS', 'physical', '55', '95'], ['23', 'Sweet Scent', 'NORMAL', 'status', '-', '100'], ['28', 'Growth', 'NORMAL', 'status', '-', '-'], ['31', 'Double-Edge', 'NORMAL', 'physical', '120', '100'], ['36', 'Worry Seed', 'GRASS', 'status', '-', '100'], ['39', 'Synthesis', 'GRASS', 'status', '-', '-'], ['44', 'Solar Beam', 'GRASS', 'special', '120', '100']]"
#003,,Venusaur,grass,poison,Overgrow,,Chlorophyll,80,82,83,100,100,80,525,"[['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'Leech Seed', 'GRASS', 'status', '-', '90'], ['1', 'Petal Dance', 'GRASS', 'special', '120', '100'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['1', 'Vine Whip', 'GRASS', 'physical', '45', '100'], ['3', 'Growl', 'NORMAL', 'status', '-', '100'], ['7', 'Leech Seed', 'GRASS', 'status', '-', '90'], ['9', 'Vine Whip', 'GRASS', 'physical', '45', '100'], ['13', 'Poison Powder', 'POISON', 'status', '-', '75'], ['13', 'Sleep Powder', 'GRASS', 'status', '-', '75'], ['15', 'Take Down', 'NORMAL', 'physical', '90', '85'], ['20', 'Razor Leaf', 'GRASS', 'physical', '55', '95'], ['23', 'Sweet Scent', 'NORMAL', 'status', '-', '100'], ['28', 'Growth', 'NORMAL', 'status', '-', '-'], ['31', 'Double-Edge', 'NORMAL', 'physical', '120', '100'], ['39', 'Worry Seed', 'GRASS', 'status', '-', '100'], ['45', 'Synthesis', 'GRASS', 'status', '-', '-'], ['50', 'Petal Blizzard', 'GRASS', 'physical', '90', '100'], ['53', 'Solar Beam', 'GRASS', 'special', '120', '100']]"
#004,,Charmander,fire,,Blaze,,Solar Power,39,52,43,60,50,65,309,"[['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'Scratch', 'NORMAL', 'physical', '40', '100'], ['7', 'Ember', 'FIRE', 'special', '40', '100'], ['10', 'Smokescreen', 'NORMAL', 'status', '-', '100'], ['16', 'Dragon Rage', 'DRAGON', 'special', '-', '100'], ['19', 'Scary Face', 'NORMAL', 'status', '-', '100'], ['25', 'Fire Fang', 'FIRE', 'physical', '65', '95'], ['28', 'Flame Burst', 'FIRE', 'special', '70', '100'], ['34', 'Slash', 'NORMAL', 'physical', '70', '100'], ['37', 'Flamethrower', 'FIRE', 'special', '90', '100'], ['43', 'Fire Spin', 'FIRE', 'special', '35', '85'], ['46', 'Inferno', 'FIRE', 'special', '100', '50']]"
#005,,Charmeleon,fire,,Blaze,,Solar Power,58,64,58,80,65,80,405,"[['1', 'Ember', 'FIRE', 'special', '40', '100'], ['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'Scratch', 'NORMAL', 'physical', '40', '100'], ['7', 'Ember', 'FIRE', 'special', '40', '100'], ['10', 'Smokescreen', 'NORMAL', 'status', '-', '100'], ['17', 'Dragon Rage', 'DRAGON', 'special', '-', '100'], ['21', 'Scary Face', 'NORMAL', 'status', '-', '100'], ['28', 'Fire Fang', 'FIRE', 'physical', '65', '95'], ['32', 'Flame Burst', 'FIRE', 'special', '70', '100'], ['39', 'Slash', 'NORMAL', 'physical', '70', '100'], ['43', 'Flamethrower', 'FIRE', 'special', '90', '100'], ['50', 'Fire Spin', 'FIRE', 'special', '35', '85'], ['54', 'Inferno', 'FIRE', 'special', '100', '50']]"
#006,,Charizard,fire,flying,Blaze,,Solar Power,78,84,78,109,85,100,534,"[['1', 'Air Slash', 'FLYING', 'special', '75', '95'], ['1', 'Dragon Claw', 'DRAGON', 'physical', '80', '100'], ['1', 'Ember', 'FIRE', 'special', '40', '100'], ['1', 'Flare Blitz', 'FIRE', 'physical', '120', '100'], ['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'Heat Wave', 'FIRE', 'special', '95', '90'], ['1', 'Scratch', 'NORMAL', 'physical', '40', '100'], ['1', 'Shadow Claw', 'GHOST', 'physical', '70', '100'], ['1', 'Wing Attack', 'FLYING', 'physical', '60', '100'], ['7', 'Ember', 'FIRE', 'special', '40', '100'], ['10', 'Smokescreen', 'NORMAL', 'status', '-', '100'], ['17', 'Dragon Rage', 'DRAGON', 'special', '-', '100'], ['21', 'Scary Face', 'NORMAL', 'status', '-', '100'], ['28', 'Fire Fang', 'FIRE', 'physical', '65', '95'], ['32', 'Flame Burst', 'FIRE', 'special', '70', '100'], ['41', 'Slash', 'NORMAL', 'physical', '70', '100'], ['47', 'Flamethrower', 'FIRE', 'special', '90', '100'], ['56', 'Fire Spin', 'FIRE', 'special', '35', '85'], ['62', 'Inferno', 'FIRE', 'special', '100', '50'], ['71', 'Heat Wave', 'FIRE', 'special', '95', '90'], ['77', 'Flare Blitz', 'FIRE', 'physical', '120', '100']]"
#007,,Squirtle,water,,Torrent,,Rain Dish,44,48,65,50,64,43,314,"[['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['4', 'Tail Whip', 'NORMAL', 'status', '-', '100'], ['7', 'Water Gun', 'WATER', 'special', '40', '100'], ['10', 'Withdraw', 'WATER', 'status', '-', '-'], ['13', 'Bubble', 'WATER', 'special', '40', '100'], ['16', 'Bite', 'DARK', 'physical', '60', '100'], ['19', 'Rapid Spin', 'NORMAL', 'physical', '50', '100'], ['22', 'Protect', 'NORMAL', 'status', '-', '-'], ['25', 'Water Pulse', 'WATER', 'special', '60', '100'], ['28', 'Aqua Tail', 'WATER', 'physical', '90', '90'], ['31', 'Skull Bash', 'NORMAL', 'physical', '130', '100'], ['34', 'Iron Defense', 'STEEL', 'status', '-', '-'], ['37', 'Rain Dance', 'WATER', 'status', '-', '-'], ['40', 'Hydro Pump', 'WATER', 'special', '110', '80']]"
#008,,Wartortle,water,,Torrent,,Rain Dish,59,63,80,65,80,58,405,"[['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['1', 'Tail Whip', 'NORMAL', 'status', '-', '100'], ['1', 'Water Gun', 'WATER', 'special', '40', '100'], ['4', 'Tail Whip', 'NORMAL', 'status', '-', '100'], ['7', 'Water Gun', 'WATER', 'special', '40', '100'], ['10', 'Withdraw', 'WATER', 'status', '-', '-'], ['13', 'Bubble', 'WATER', 'special', '40', '100'], ['17', 'Bite', 'DARK', 'physical', '60', '100'], ['21', 'Rapid Spin', 'NORMAL', 'physical', '50', '100'], ['25', 'Protect', 'NORMAL', 'status', '-', '-'], ['29', 'Water Pulse', 'WATER', 'special', '60', '100'], ['33', 'Aqua Tail', 'WATER', 'physical', '90', '90'], ['37', 'Skull Bash', 'NORMAL', 'physical', '130', '100'], ['41', 'Iron Defense', 'STEEL', 'status', '-', '-'], ['45', 'Rain Dance', 'WATER', 'status', '-', '-'], ['49', 'Hydro Pump', 'WATER', 'special', '110', '80']]"
#009,,Blastoise,water,,Torrent,,Rain Dish,79,83,100,85,105,78,530,"[['1', 'Flash Cannon', 'STEEL', 'special', '80', '100'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['1', 'Tail Whip', 'NORMAL', 'status', '-', '100'], ['1', 'Water Gun', 'WATER', 'special', '40', '100'], ['1', 'Withdraw', 'WATER', 'status', '-', '-'], ['4', 'Tail Whip', 'NORMAL', 'status', '-', '100'], ['7', 'Water Gun', 'WATER', 'special', '40', '100'], ['10', 'Withdraw', 'WATER', 'status', '-', '-'], ['13', 'Bubble', 'WATER', 'special', '40', '100'], ['17', 'Bite', 'DARK', 'physical', '60', '100'], ['21', 'Rapid Spin', 'NORMAL', 'physical', '50', '100'], ['25', 'Protect', 'NORMAL', 'status', '-', '-'], ['29', 'Water Pulse', 'WATER', 'special', '60', '100'], ['33', 'Aqua Tail', 'WATER', 'physical', '90', '90'], ['40', 'Skull Bash', 'NORMAL', 'physical', '130', '100'], ['47', 'Iron Defense', 'STEEL', 'status', '-', '-'], ['54', 'Rain Dance', 'WATER', 'status', '-', '-'], ['60', 'Hydro Pump', 'WATER', 'special', '110', '80']]"
#010,,Caterpie,bug,,Shield Dust,,Run Away,45,30,35,20,20,45,195,"[['1', 'String Shot', 'BUG', 'status', '-', '95'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['9', 'Bug Bite', 'BUG', 'physical', '60', '100']]"
